"","Time","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","doctor"
"1","10/Jan/17 17:44","4","0","0","3","0","3","4","3","0","0","0","0","1","0","1","4","0","0","0","0","0","0","0"
"2","10/Jan/17 17:36","4","0","1","1","0","2","2","1","2","0","0","0","1","0","1","1","1","0","1","1","0","1","1"
"3","10/Jan/17 17:31","3","2","3","2","0","1","3","1","2","0","2","2","2","0","3","3","2","1","3","2","0","3","1"
"4","10/Jan/17 17:29","3","0","2","3","0","3","1","2","3","1","3","0","2","1","3","3","1","0","2","1","0","2","1"
"5","10/Jan/17 17:27","2","1","3","2","3","2","3","2","2","0","2","0","0","0","2","4","3","1","2","1","0","1","1"
"6","10/Jan/17 17:22","2","0","2","3","0","4","4","4","4","0","3","4","4","0","4","4","4","4","4","4","4","4","1"
"7","10/Jan/17 17:16","3","0","1","2","3","0","4","4","4","0","0","2","3","1","0","4","4","0","0","4","4","1","1"
"8","10/Jan/17 16:48","3","1","2","2","2","3","2","2","1","0","1","0","2","1","1","2","1","1","0","1","1","1","1"
"9","10/Jan/17 16:09","3","0","0","1","0","1","4","2","1","0","0","1","1","0","1","4","0","1","2","0","0","1","1"
"10","10/Jan/17 07:48","3","0","4","3","1","1","4","0","4","1","0","4","2","0","4","2","3","2","1","3","3","1","1"
"11","10/Jan/17 07:27","4","3","3","1","0","2","3","0","2","0","3","0","0","1","3","1","2","1","2","2","0","2","1"
"12","10/Jan/17 07:24","4","2","2","2","1","2","3","0","3","2","3","0","1","0","3","2","2","0","2","2","0","1","1"
"13","10/Jan/17 07:21","4","0","3","3","1","4","3","2","1","0","2","2","3","2","3","3","2","2","1","3","0","2","1"
"14","10/Jan/17 07:13","2","4","1","2","1","2","2","1","4","0","2","0","1","1","4","1","1","0","4","1","0","1","1"
"15","10/Jan/17 06:47","3","0","3","4","0","1","3","3","2","4","0","3","4","0","4","3","3","4","2","1","2","2","1"
"16","10/Jan/17 06:32","3","2","3","4","0","4","2","3","3","0","3","0","3","2","3","2","3","1","1","2","1","2","1"
"17","10/Jan/17 06:22","4","2","3","1","0","3","4","2","2","0","1","1","1","0","2","3","3","1","2","2","1","2","1"
"18","10/Jan/17 06:15","3","1","3","2","3","1","1","3","2","0","2","1","2","0","3","1","3","2","1","2","3","1","1"
"19","10/Jan/17 05:54","3","0","2","1","1","1","2","3","1","0","0","1","1","0","4","3","2","0","2","2","1","1","1"
"20","10/Jan/17 05:28","3","1","3","3","1","2","3","3","3","3","2","3","3","0","3","3","3","2","2","2","1","3","1"
"21","10/Jan/17 05:13","3","4","2","2","2","2","3","3","2","3","2","4","3","3","2","3","2","3","3","3","3","3","1"
"22","10/Jan/17 04:45","4","0","1","4","2","3","4","2","1","0","1","1","2","0","4","4","4","1","2","4","1","4","1"
"23","10/Jan/17 04:44","1","0","4","4","0","2","2","1","0","0","0","3","2","0","0","1","3","1","0","2","1","1","1"
"24","10/Jan/17 04:36","3","0","2","3","1","2","2","1","3","0","2","1","4","0","4","2","1","2","1","2","0","1","1"
"25","10/Jan/17 04:13","3","3","4","3","0","1","1","4","3","0","0","1","0","2","3","1","3","0","0","4","1","2","1"
"26","10/Jan/17 04:12","3","0","4","1","0","3","2","1","3","0","1","2","2","0","3","4","3","0","2","3","0","3","1"
"27","10/Jan/17 04:03","2","0","0","3","0","3","2","3","2","2","2","2","2","0","1","3","1","1","1","2","0","1","1"
"28","10/Jan/17 04:00","4","0","4","3","2","3","4","4","4","1","0","3","4","0","4","4","4","4","4","4","1","4","1"
"29","10/Jan/17 03:57","4","2","3","1","0","2","2","1","4","0","0","1","1","0","3","4","3","0","1","3","3","2","1"
"30","10/Jan/17 03:53","0","0","0","2","0","2","1","1","2","0","0","0","2","0","4","0","1","1","1","1","1","1","1"
"31","10/Jan/17 03:53","2","2","1","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","1"
"32","10/Jan/17 03:04","1","1","3","0","3","2","0","3","4","1","3","2","1","2","3","4","1","2","3","4","2","1","1"
"33","16/Jan/17 18:56","3","2","2","4","0","2","1","3","3","2","2","1","3","1","3","3","2","3","3","2","2","2","0"
"34","12/Jan/17 20:16","1","1","3","3","2","2","2","3","1","4","3","3","3","3","3","3","2","3","3","3","2","2","0"
"35","12/Jan/17 19:17","1","1","1","2","2","2","1","1","2","1","1","1","2","2","2","1","1","2","2","2","1","1","0"
"36","12/Jan/17 18:55","3","0","4","3","1","2","3","4","2","1","3","2","3","1","4","3","3","3","1","4","2","2","0"
"37","12/Jan/17 18:20","3","1","4","2","2","4","3","2","2","0","2","2","2","1","3","2","2","1","2","4","2","2","0"
"38","17/Jan/17 02:24","4","1","4","2","0","2","2","2","1","0","0","1","2","1","2","4","2","0","1","3","1","0","0"
"39","16/Jan/17 18:56","3","2","2","4","0","2","1","3","3","2","2","1","3","1","3","3","2","3","3","2","2","2","0"
